Site Name	Purpose	Culture	Location type	Water type	Capacity	Lat	Long
TOMMA LAKS AS	KOMMERSIELL	Fingertare	SJØ	SALTVANN	30 DA	66.299100	12.814367
PURSEA AS	KOMMERSIELL	Sukkertare	SJØ	SALTVANN	100 DA	66.584167	13.011833
PURSEA AS	KOMMERSIELL	Butare	SJØ	SALTVANN	100 DA	66.584167	13.011833
PURSEA AS	KOMMERSIELL	Fingertare	SJØ	SALTVANN	100 DA	66.584167	13.011833
FOLLA ALGER AS	KOMMERSIELL	Sukkertare	SJØ	SALTVANN	3120 TN	67.752283	15.239067
FOLLA ALGER AS	KOMMERSIELL	Butare	SJØ	SALTVANN	3120 TN	67.752283	15.239067
FOLLA ALGER AS	KOMMERSIELL	Stortare	SJØ	SALTVANN	3120 TN	67.752283	15.239067
FOLLA ALGER AS	KOMMERSIELL	Fingertare	SJØ	SALTVANN	3120 TN	67.752283	15.239067
FOLLA ALGER AS	KOMMERSIELL	Butare	SJØ	SALTVANN	150 DA	67.762950	15.678017
FOLLA ALGER AS	KOMMERSIELL	Stortare	SJØ	SALTVANN	150 DA	67.762950	15.678017
FOLLA ALGER AS	KOMMERSIELL	Fingertare	SJØ	SALTVANN	150 DA	67.762950	15.678017
FOLLA ALGER AS	KOMMERSIELL	Sukkertare	SJØ	SALTVANN	150 DA	67.762950	15.678017
FOLLA ALGER AS	KOMMERSIELL	Draugtare	SJØ	SALTVANN	150 DA	67.762950	15.678017
FOLLA ALGER AS	KOMMERSIELL	Stortare	SJØ	SALTVANN	150 DA	67.717583	15.407033
FOLLA ALGER AS	KOMMERSIELL	Sukkertare	SJØ	SALTVANN	150 DA	67.717583	15.407033
FOLLA ALGER AS	KOMMERSIELL	Butare	SJØ	SALTVANN	150 DA	67.717583	15.407033
FOLLA ALGER AS	KOMMERSIELL	Fingertare	SJØ	SALTVANN	150 DA	67.717583	15.407033
LOFOTEN BLUE HARVEST AS	KOMMERSIELL	Fingertare	SJØ	SALTVANN	115 DA	68.306717	15.130567
LOFOTEN BLUE HARVEST AS	KOMMERSIELL	Butare	SJØ	SALTVANN	115 DA	68.306717	15.130567
LOFOTEN BLUE HARVEST AS	KOMMERSIELL	Sukkertare	SJØ	SALTVANN	115 DA	68.306717	15.130567
LOFOTEN BLUE HARVEST AS	KOMMERSIELL	Sukkertare	SJØ	SALTVANN	55 DA	68.268283	15.104117
LOFOTEN BLUE HARVEST AS	KOMMERSIELL	Fingertare	SJØ	SALTVANN	55 DA	68.268283	15.104117
LOFOTEN BLUE HARVEST AS	KOMMERSIELL	Butare	SJØ	SALTVANN	55 DA	68.268283	15.104117
LOFOTEN BLUE HARVEST AS	KOMMERSIELL	Sukkertare	SJØ	SALTVANN	20 DA	68.315383	15.140133
LOFOTEN BLUE HARVEST AS	KOMMERSIELL	Fingertare	SJØ	SALTVANN	20 DA	68.315383	15.140133
LOFOTEN BLUE HARVEST AS	KOMMERSIELL	Butare	SJØ	SALTVANN	20 DA	68.315383	15.140133
LOFOTEN BLUE HARVEST AS	KOMMERSIELL	Bladtare	SJØ	SALTVANN	20 DA	68.315383	15.140133
LOFOTEN BLUE HARVEST AS	KOMMERSIELL	Butare	SJØ	SALTVANN	80 DA	68.282600	15.073833
LOFOTEN BLUE HARVEST AS	KOMMERSIELL	Fingertare	SJØ	SALTVANN	80 DA	68.282600	15.073833
LOFOTEN BLUE HARVEST AS	KOMMERSIELL	Sukkertare	SJØ	SALTVANN	80 DA	68.282600	15.073833
VEGA SJØFARM AS	KOMMERSIELL	Sukkertare	SJØ	SALTVANN	50 DA	65.660283	12.089783
VEGA SJØFARM AS	KOMMERSIELL	Butare	SJØ	SALTVANN	50 DA	65.660283	12.089783
VEGA SJØFARM AS	KOMMERSIELL	Stortare	SJØ	SALTVANN	50 DA	65.660283	12.089783
VEGA SJØFARM AS	KOMMERSIELL	Fingertare	SJØ	SALTVANN	50 DA	65.660283	12.089783
VESTERÅLEN SEAWEED AS	KOMMERSIELL	Sukkertare	SJØ	SALTVANN	75 DA	68.963467	15.256450
VESTERÅLEN SEAWEED AS	KOMMERSIELL	Fingertare	SJØ	SALTVANN	75 DA	68.963467	15.256450
VESTERÅLEN SEAWEED AS	KOMMERSIELL	Butare	SJØ	SALTVANN	75 DA	68.963467	15.256450
